STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CH,Switzerland,2025-02,,121,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CH,Switzerland,2025-03,,123,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-06,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-07,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-08,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-09,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-10,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-11,,11,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2024-12,,12,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2025-01,,11,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2025-02,,11,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2025-03,,10,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2025-04,,8,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CY,Cyprus,2025-05,,8,,,,,
dataflow,ESTAT:TEILM010(1.0),Unemployment by sex,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,M,Males,THS_PER,Thousand persons,CZ,Czechia,2024-06,,66,,,,,
